"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"5AM Ventures IV LP","18,000,000",0,"15,965,370","2,034,630","6,562,914","1,612,460",9/30/2020,"23,770,800","-3,417,369","20,353,431",11.92,1.58
,,,,"Kamehameha Schools - Financial Assets Division",,,"5AM Ventures V LP","10,000,000","350,000","8,403,800","1,246,200",0,0,9/30/2020,"9,598,553","445,000","10,043,553",1.87,1.04
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North FXV III Limited Partnership","3,085,000","1,079,750","2,005,250",0,0,0,9/30/2020,"1,074,781","925,500","2,000,281",-0.35,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North FXV Limited Partnership","3,085,000","107,975","2,977,025",0,0,0,9/30/2020,"2,930,853",0,"2,930,853",-1.54,0.98
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North IV Limited Partnership","7,500,000","2,437,500","5,062,500",0,0,0,9/30/2020,"4,412,694","637,500","5,050,194",-0.15,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"83North V Limited Partnership","6,171,000","3,548,325","2,622,675",0,0,0,9/30/2020,"2,021,929","524,535","2,546,464",-4.95,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"A-Fund II LP","5,000,000","250,000","4,750,000",0,"1,600,000",0,9/30/2020,"9,343,459","-1,500,000","7,843,459",18.18,1.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"A-Fund III LP","4,000,000","2,800,000","1,200,000",0,0,0,9/30/2020,"837,228","200,000","1,037,228",-9.52,0.86
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Growth Fund IV LP","6,600,000","297,000","6,303,000",0,"120,369","945,656",9/30/2020,"8,061,539","-400,109","7,661,430",11.58,1.38
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Growth Fund V LP","9,000,000","3,690,000","5,310,000",0,"59,137",0,9/30/2020,"4,831,523","540,000","5,371,523",1.94,1.02
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel India V LP","7,000,000","490,000","6,510,000",0,0,0,9/30/2020,"7,287,381",0,"7,287,381",4.93,1.12
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel India VI LP","9,000,000","7,065,000","1,935,000",0,0,0,9/30/2020,"1,312,586","450,000","1,762,586",-12.91,0.91
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Leaders 3  LP","5,000,000","5,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Leaders Fund II LP","3,000,000",0,"3,000,000",0,0,0,9/30/2020,"2,166,136","810,000","2,976,136",-0.96,0.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel Leaders Fund LP","1,650,000",0,"1,650,000",0,"443,565","1,795,056",9/30/2020,"5,366,979","-943,688","4,423,291",62.16,4.04
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel XIII LP","3,000,000","750,000","2,250,000",0,0,0,9/30/2020,"2,237,414","240,000","2,477,414",3.82,1.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"Accel XIV LP","4,500,000","2,227,500","2,272,500",0,0,0,9/30/2020,"1,600,192","585,000","2,185,192",-4.14,0.96
,,,,"Kamehameha Schools - Financial Assets Division",,,"Advantage Partners Fund IV","1,704,691","89,890","2,092,836","323,014","3,116,180",0,9/30/2020,"8,289",66,"8,356",5.41,1.29
,,,,"Kamehameha Schools - Financial Assets Division",,,"AH Parallel Fund V-Q LP","1,666,667","50,000","1,542,500","74,167",0,0,9/30/2020,"2,294,429","7,167","2,301,596",15.56,1.42
,,,,"Kamehameha Schools - Financial Assets Division",,,"Alphax Partners Fund I LP","10,000,000","1,619,315","7,825,000","555,685",0,0,9/30/2020,"6,096,248",0,"6,096,248",-11.51,0.73
,,,,"Kamehameha Schools - Financial Assets Division",,,"Andreessen Horowitz Fund V-Q LP","3,333,333","100,000","2,955,666","277,667",0,0,9/30/2020,"3,607,627","141,333","3,748,960",6.72,1.16
,,,,"Kamehameha Schools - Financial Assets Division",,,"Andreessen Horowitz Fund VI LP","4,000,000","600,000","3,197,300","202,700",0,0,9/30/2020,"3,113,699","470,800","3,584,499",5.59,1.05
,,,,"Kamehameha Schools - Financial Assets Division",,,"Andreessen Horowitz LSV Fund I LP","10,000,000","1,300,000","8,580,500","119,500",0,0,9/30/2020,"8,382,152","1,098,000","9,480,152",8.96,1.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"ARCH Venture Fund XI LP","25,000,000","25,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Arcline Capital Partners II LP","30,000,000","30,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"Arsenal Venture Partners II, L.P.","3,000,000","179,788","2,624,073","508,728","592,155",0,9/30/2020,"2,808,117",0,"2,808,117",1.66,1.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"Asia/Pacific Special Situations Fund, L.P.","5,000,000",0,"5,000,000",0,"3,821,747",0,12/31/2008,0,0,0,-3.39,0.76
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bain Capital Fund IX, L.P.","16,000,000","400,000","15,640,000","415,008","24,265,827",0,9/30/2020,"775,869",0,"775,869",7.28,1.56
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bain Capital Fund X, L.P.","20,000,000","599,086","20,928,914","222,000","30,775,938",0,9/30/2020,"3,121,544",0,"3,121,544",9.48,1.60
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bain Capital Fund XI, L.P.","20,000,000","3,400,000","20,818,000","682,000","26,969,449",0,9/30/2020,"18,162,496","-2,360,814","15,801,682",26.14,1.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bain Capital Fund XII LP","20,000,000","6,239,458","16,596,226","722,053","3,623,720",0,9/30/2020,"12,262,736","1,198,017","13,460,753",-1.18,0.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"BDM Holdings, Inc.","251,690",0,"251,690",0,"287,059",0,3/31/2009,0,0,0,0.97,1.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"Blackstone Capital Partners V, L.P.","25,000,000","1,209,524","24,757,036","1,377,920","41,797,733",0,9/30/2020,"1,056,507","-308,414","748,093",7.53,1.63
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bridgepoint Europe III","16,571,859",0,"18,165,617","526,999","20,469,529",0,12/31/2016,0,0,0,1.33,1.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bridgepoint Europe IV","18,223,500","1,506,695","18,991,383","1,305,948","27,252,555",0,9/30/2020,"3,321,136","119,659","3,440,795",9.69,1.51
,,,,"Kamehameha Schools - Financial Assets Division",,,"Bridgepoint Europe V LP","9,111,750","404,118","8,242,966","519,667","4,365,323",0,9/30/2020,"8,814,085","250,702","9,064,788",16.22,1.53
,,,,"Kamehameha Schools - Financial Assets Division",,,"Capital Partners III LP","16,500,000","528,000","14,832,502","1,139,498","4,129,199","10,557,871",9/30/2020,"27,813,505","-3,066,384","24,747,121",22.18,2.47
,,,,"Kamehameha Schools - Financial Assets Division",,,"Capital Z Financial Services Fund II, L.P.","24,792,750",0,"22,948,309","3,368,207","35,536,363","920,019",3/31/2017,0,0,0,5.43,1.39
,,,,"Kamehameha Schools - Financial Assets Division",,,"Ceyuan Ventures III, LP","10,000,000","400,000","9,595,000","270,730","9,280,447",0,9/30/2020,"14,372,841","-1,364,824","13,008,017",13.61,2.26
,,,,"Kamehameha Schools - Financial Assets Division",,,"Champion Ventures III, L.P.","10,000,000","675,000","9,170,048","154,952","18,800,000",0,9/30/2020,"1,796,390","-200,000","1,596,390",12.43,2.19
,,,,"Kamehameha Schools - Financial Assets Division",,,"Charles River Partnership XIII","5,000,000",0,"5,000,000",0,"3,742,371","8,379,431",9/30/2020,"869,465",0,"869,465",20.57,2.60
,,,,"Kamehameha Schools - Financial Assets Division",,,"Charles River Partnership XIV, L.P.","5,000,000",0,"5,000,000",0,"5,226,794","247,943",9/30/2020,"2,557,722",0,"2,557,722",7.43,1.61
,,,,"Kamehameha Schools - Financial Assets Division",,,"Charles River Partnership XV, L.P.","10,000,000","275,000","9,725,000",0,"6,153,268","1,171,031",9/30/2020,"17,928,762","37,515","17,966,277",19.40,2.60
,,,,"Kamehameha Schools - Financial Assets Division",,,"Charles River Partnership XVI LP","15,000,000","525,000","14,475,000",0,"2,152,461","933,711",9/30/2020,"28,864,732","-933,711","27,931,021",21.85,2.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"Charles River Ventures XVII LP","10,000,000","1,000,000","9,000,000",0,"361,888","234,842",9/30/2020,"9,066,520","1,775,000","10,841,520",20.26,1.27
,,,,"Kamehameha Schools - Financial Assets Division",,,"Charterhouse Capital Partners VIII, L.P.","10,904,031",0,"11,295,838","1,043,430","11,828,851",0,9/30/2020,"12,088","-12,763",-675,-0.68,0.96
,,,,"Kamehameha Schools - Financial Assets Division",,,"CHS Private Equity V, L.P.","12,920,445",0,"17,043,609","335,499","28,163,146","681,846",12/15/2020,0,0,0,9.86,1.66
,,,,"Kamehameha Schools - Financial Assets Division",,,"Cornerstone Equity Investors IV, L.P.","5,000,000",0,"5,000,000",0,"10,640,141",0,12/21/2009,0,0,0,11.79,2.13
,,,,"Kamehameha Schools - Financial Assets Division",,,"Corsair III Financial Services Capital Partners","15,000,000","830,339","19,040,204","3,096,786","15,152,939",0,9/30/2020,"4,687,835","-34,054","4,653,781",-2.03,0.89
,,,,"Kamehameha Schools - Financial Assets Division",,,"Corsair IV Financial Services Capital Partners","15,000,000","5,244,561","19,933,125","1,910,769","26,448,081",0,9/30/2020,"7,873,408",0,"7,873,408",11.30,1.57
,,,,"Kamehameha Schools - Financial Assets Division",,,"Crimson Asia Capital Ltd., L.P.","20,000,000","1,630,725","18,333,451","6,639,146","27,362,420",0,9/30/2020,"-226,582",0,"-226,582",1.75,1.09
,,,,"Kamehameha Schools - Financial Assets Division",,,"Crimson Velocity Fund, L.P.","10,000,000","1,149","10,077,246","3,520,878","14,261,934",0,9/30/2020,"250,734",0,"250,734",0.88,1.07
,,,,"Kamehameha Schools - Financial Assets Division",,,"CrossCut Ventures 3 LP","5,000,000","500,000","4,500,000",0,"424,592",0,9/30/2020,"4,684,527",0,"4,684,527",3.62,1.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"CrossCut Ventures 4 LP","10,000,000","3,800,000","6,200,000",0,0,0,9/30/2020,"6,366,507","600,000","6,966,507",6.34,1.12
,,,,"Kamehameha Schools - Financial Assets Division",,,"Crossroads Cornerstone Private Equity XV, L.P.","35,320,609",0,"33,752,048","1,331,269","24,474,223","1,118,687",3/8/2018,0,0,0,-5.58,0.73
,,,,"Kamehameha Schools - Financial Assets Division",,,"CVC Capital Partners Asia Pacific II, L.P.","11,906,951",0,"11,953,704","1,028,886","9,605,775",0,12/31/2019,0,0,0,-5.24,0.74
,,,,"Kamehameha Schools - Financial Assets Division",,,"CVC Capital Partners VI LP","24,228,400","4,578,176","24,262,567","2,485,476","14,749,701",0,9/30/2020,"23,432,221","791,159","24,223,380",13.37,1.46
,,,,"Kamehameha Schools - Financial Assets Division",,,"CVC Capital Partners VII LP","29,157,600","10,714,403","15,828,595","2,024,023","725,617",0,9/30/2020,"14,917,338","4,020,928","18,938,267",8.47,1.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"CVC European Equity Partners IV, L.P.","12,149,000","1,402,200","12,153,011","694,745","24,462,594",0,6/30/2020,"4,221","20,593","24,814",16.62,1.91
,,,,"Kamehameha Schools - Financial Assets Division",,,"CVC European Equity Partners V (B) LP","12,149,000","173,518","14,711,189","1,111,502","29,624,016",0,6/30/2020,"1,661,303","-1,289,758","371,544",16.47,1.90
,,,,"Kamehameha Schools - Financial Assets Division",,,"DCM Ventures China Fund ( DCM VIII) LP","10,000,000","375,000","9,625,000",0,0,0,9/30/2020,"12,987,898",0,"12,987,898",10.53,1.35
,,,,"Kamehameha Schools - Financial Assets Division",,,"DCM Ventures China Fund IX LP","15,000,000","9,750,000","5,250,000",0,0,0,9/30/2020,"6,221,813",0,"6,221,813",11.21,1.19
,,,,"Kamehameha Schools - Financial Assets Division",,,"DCM Ventures China Turbo Fund LP","20,000,000",0,"20,000,000",0,"10,000,000",0,9/30/2020,"24,973,840",0,"24,973,840",13.14,1.75
,,,,"Kamehameha Schools - Financial Assets Division",,,"Deerfield Private Design Fund III LP","30,000,000","13,849,313","24,000,000",0,"7,849,313",0,9/30/2020,"26,467,341",0,"26,467,341",7.77,1.43
,,,,"Kamehameha Schools - Financial Assets Division",,,"Deerfield Private Design Fund IV LP","30,000,000","4,200,000","27,000,000",0,"1,200,000",0,9/30/2020,"28,803,975",0,"28,803,975",4.81,1.11
,,,,"Kamehameha Schools - Financial Assets Division",,,"Doughty Hanson & Co. Fund III, L.P.","11,022,190",0,"11,559,488","885,047","24,236,513",0,7/31/2018,0,0,0,13.57,1.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"Erebor LP","7,000,000","7,000,000",0,0,0,0,,N/A,0,0,N/A,N/A
,,,,"Kamehameha Schools - Financial Assets Division",,,"European Special Situations Fund, L.P.","10,000,000",0,"10,000,000","36,603","23,715,076",0,12/31/2004,0,0,0,16.76,2.36
,,,,"Kamehameha Schools - Financial Assets Division",,,"Felicis Ventures V LP","5,000,000","100,000","4,900,000",0,0,0,9/30/2020,"8,729,907","100,000","8,829,907",22.50,1.80
,,,,"Kamehameha Schools - Financial Assets Division",,,"Formation8 Partners Fund II LP","6,750,000","600,000","5,838,113","311,887",0,"1,814,414",9/30/2020,"9,868,841",0,"9,868,841",14.50,1.90
,,,,"Kamehameha Schools - Financial Assets Division",,,"Founders Fund II","10,000,000",0,"10,000,000",0,"28,294,457","5,096,931",9/30/2020,"76,405,300","-291,179","76,114,121",26.40,10.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"Founders Fund III","6,000,000",0,"6,000,000",0,"2,573,131","2,264,021",9/30/2020,"22,449,260","-203,949","22,245,311",18.80,4.51
,,,,"Kamehameha Schools - Financial Assets Division",,,"Founders Fund IV","10,000,000","300,000","9,700,000",0,"6,558,462","11,159,842",9/30/2020,"35,029,222","-2,971,127","32,058,095",28.64,5.13
,,,,"Kamehameha Schools - Financial Assets Division",,,"Founders Fund V, L.P.","16,000,000","320,000","15,680,000",0,"2,964,722","2,800,102",9/30/2020,"44,435,533","-392,350","44,043,183",27.90,3.18
,,,,"Kamehameha Schools - Financial Assets Division",,,"Founders Fund VI, L.P","16,000,000","320,000","15,680,000",0,0,0,9/30/2020,"22,879,376",0,"22,879,376",19.85,1.46
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners Agility","15,000,000","1,650,000","12,438,480","911,520","2,790,000",0,9/30/2020,"22,298,685","-225,000","22,073,685",53.13,1.86
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners Agility II","15,000,000","14,100,000","867,568","32,432",0,0,9/30/2020,"797,018",0,"797,018",-11.44,0.89
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners II, L.P.","10,000,000","690,000","9,382,639","333,375","13,907,613","510,599",9/30/2020,"1,236,473","-195,000","1,041,473",10.01,1.59
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners III, L.P.","10,000,000","865,000","8,569,969","664,741","16,401,672","1,323,272",9/30/2020,"9,920,350","-2,171,965","7,748,385",21.10,2.76
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners IV LP","15,000,000","382,500","13,883,749","733,751","14,551,733",0,9/30/2020,"34,484,801","-1,897,730","32,587,071",36.18,3.22
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners V LP","15,000,000","1,387,500","12,892,277","720,223",0,0,9/30/2020,"12,493,039","2,933,430","15,426,469",9.26,1.13
,,,,"Kamehameha Schools - Financial Assets Division",,,"Francisco Partners VI LP","15,000,000","14,887,500",0,"112,500",0,0,,N/A,0,0,-100.00,0.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"FT Ventures Fund III, L.P.","10,000,000","-74,391","10,950,207","394,289","20,743,115","1,400,160",9/30/2020,"3,019,666","-522,552","2,497,114",15.37,2.17
,,,,"Kamehameha Schools - Financial Assets Division",,,"FTV IV, LP","30,000,000","-88,098","37,432,894","1,199,260","51,079,915",0,9/30/2020,"47,103,781","-13,115,577","33,988,204",19.43,2.20
,,,,"Kamehameha Schools - Financial Assets Division",,,"FTV V LP","30,000,000","900,000","28,196,650","2,403,350","1,500,000",0,9/30/2020,"45,423,270","1,692,000","47,115,270",22.63,1.59
,,,,"Kamehameha Schools - Financial Assets Division",,,"FTV VI LP","30,000,000","18,600,000","10,863,194","536,806",0,0,9/30/2020,"7,657,480","4,833,000","12,490,480",16.35,1.10
,,,,"Kamehameha Schools - Financial Assets Division",,,"General Catalyst Group IX LP","10,000,000","1,550,000","7,822,150","627,850",0,0,9/30/2020,"10,057,406","549,000","10,606,406",15.06,1.26
,,,,"Kamehameha Schools - Financial Assets Division",,,"General Catalyst Group X - Early Venture LP","6,521,739","3,750,000","2,626,973","144,766",0,0,9/30/2020,"1,362,680","1,261,565","2,624,245",-9.24,0.95
,,,,"Kamehameha Schools - Financial Assets Division",,,"General Catalyst Group X - Endurance LP","7,608,696","5,364,131","2,227,001","17,565",0,0,9/30/2020,"2,101,994","148,370","2,250,364",0.33,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"General Catalyst Group X - Growth Venture LP","10,869,565","5,434,782","5,218,859","215,924",0,0,9/30/2020,"2,273,657","3,036,755","5,310,412",-4.19,0.98
,,,,"Kamehameha Schools - Financial Assets Division",,,"GGV Capital VI LP","4,500,000","157,500","4,231,656","110,844",0,0,9/30/2020,"6,926,820","156,172","7,082,992",18.05,1.63
,,,,"Kamehameha Schools - Financial Assets Division",,,"GGV Capital VI Plus LP","1,500,000","127,500","1,369,843","2,657",0,0,9/30/2020,"1,882,397","74,336","1,956,733",20.36,1.43
,,,,"Kamehameha Schools - Financial Assets Division",,,"GGV Capital VII LP","12,000,000","3,600,000","7,941,645","458,355",0,0,9/30/2020,"6,252,875","2,396,482","8,649,357",3.17,1.03
,,,,"Kamehameha Schools - Financial Assets Division",,,"GGV Capital VII Plus LP","3,000,000","1,080,000","1,916,726","3,274",0,0,9/30/2020,"1,889,000","298,827","2,187,827",13.72,1.14
,,,,"Kamehameha Schools - Financial Assets Division",,,"GGV Discovery Fund I LP","1,000,000","60,000","926,404","13,596","5,890",0,9/30/2020,"1,278,500","39,688","1,318,188",12.33,1.41
,,,,"Kamehameha Schools - Financial Assets Division",,,"GGV Discovery II LP","10,000,000","3,450,000","6,096,332","453,668",0,0,9/30/2020,"5,186,753","1,782,952","6,969,705",6.96,1.06
,,,,"Kamehameha Schools - Financial Assets Division",,,"GS Capital Partners III, L.P.","26,583,266",0,"25,877,656","1,649,166","27,943,423",0,3/31/2015,0,0,0,0.34,1.02
,,,,"Kamehameha Schools - Financial Assets Division",,,"GS Capital Partners, L.P.","19,795,486",0,"19,265,822","869,296","48,480,297","16,565,556",12/31/2007,0,0,0,25.43,3.23
,,,,"Kamehameha Schools - Financial Assets Division",,,"GS Special Opportunities (Asia) Fund, L.P.","20,000,000",0,"20,000,000",0,"32,177,354",0,3/21/2013,0,0,0,24.42,1.61
,,,,"Kamehameha Schools - Financial Assets Division",,,"Hicks, Muse, Tate & Furst Equity Fund IV, L.P.","19,606,872",0,"18,281,585","1,325,287","11,954,317","1,403,397",12/4/2017,0,0,0,-6.31,0.68
,,,,"Kamehameha Schools - Financial Assets Division",,,"Highland Capital Partners 9 LP","15,000,000",0,"15,000,000",0,"10,270,569",0,9/30/2020,"24,877,489","-5,148,059","19,729,430",16.51,2.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Highland Capital Partners IV, L.P.","5,000,000",0,"5,000,000",0,"2,106,015","4,742,057",9/30/2020,0,0,0,10.76,1.37
,,,,"Kamehameha Schools - Financial Assets Division",,,"Highland Capital Partners V/V-B, L.P.","7,500,000",0,"7,500,000",0,"5,517,459","2,258,899",9/30/2020,0,0,0,0.56,1.04
